,btc_open,btc_close,btc_high,btc_low,btc_volume,btc_amount,eth_open,eth_close,eth_high,eth_low,eth_volume,eth_amount,xrp_open,xrp_close,xrp_high,xrp_low,xrp_volume,xrp_amount,Open,High,Low,Close,Adj Close,Volume,usdcny
2019-10-18,7946.8,7951.7,8081.1,7869.7,471.99673397,3755618.283588946,172.8,171.87,174.94,169.73,11168.43003969,1927119.7930055875,0.29397,0.29137,0.29925,0.28709,2190021.64158002,641332.9759686878,2996.840087890625,3000.0,2976.31005859375,2986.199951171875,2986.199951171875,3264290000,7.0837221823402725
2019-10-21,8195.0,8023.0,8292.9,7990.6,467.49106858,3820404.704344482,173.9,171.17,174.99,170.34,8957.59827436,1550096.244051257,0.29189,0.29024,0.30257,0.2883,2270165.04178914,669631.7472317269,2996.47998046875,3007.330078125,2995.35009765625,3006.719970703125,3006.719970703125,3271620000,7.072854202094335
2019-10-22,8020.1,7465.9,8045.0,7310.0,934.86238029,7159475.483500401,171.15,162.27,171.44,153.62,17224.80786702,2790186.7003143895,0.29022,0.27327,0.2911,0.25666,4275462.60115294,1170486.4554730789,3010.72998046875,3014.570068359375,2995.0400390625,2995.989990234375,2995.989990234375,3523890000,7.079514824797844
2019-10-23,7465.9,7412.9,7497.0,7340.0,540.11535078,4015397.288339633,162.39,160.44,163.69,158.8,10068.6312938,1621729.2057437412,0.27283,0.27602,0.28,0.26659,2045308.50720909,557302.8019428484,2994.010009765625,3004.780029296875,2991.2099609375,3004.52001953125,3004.52001953125,3392870000,7.073990829812101
2019-10-24,7412.9,8654.6,8769.0,7382.1,1404.75385321,11401892.862725401,160.45,181.45,187.63,160.23,17585.73598017,3055504.0154988184,0.27602,0.29807,0.30992,0.27441,3290596.59623118,956547.2652315965,3014.780029296875,3016.070068359375,3000.419921875,3010.2900390625,3010.2900390625,3692600000,7.072609633357297
2019-10-25,8654.7,9233.5,10348.6,8637.5,1936.85223563,18173362.782222155,181.52,179.5,197.0,173.45,25422.49964141,4679410.912549287,0.29818,0.29384,0.31178,0.284,4466065.64539732,1328577.4911383432,3003.320068359375,3027.389892578125,3001.93994140625,3022.550048828125,3022.550048828125,3370370000,7.069775817052309
2019-10-28,9207.6,9404.4,9531.4,9101.0,780.42666653,7310190.135293529,181.62,190.43,192.67,181.31,11069.41043534,2067704.7571406607,0.29433,0.30179,0.30952,0.29433,2987872.90396529,898644.9013322521,3032.1201171875,3044.080078125,3032.1201171875,3039.419921875,3039.419921875,3521230000,7.0682781636150445
2019-10-29,9404.4,9154.3,9406.2,9001.9,881.90334525,8090366.399395561,190.48,183.12,191.57,180.04,13144.37368684,2431028.9307600157,0.3018,0.29471,0.30604,0.29056,2740060.23496529,815370.2831569011,3035.389892578125,3047.8701171875,3034.81005859375,3036.889892578125,3036.889892578125,3589930000,7.065525011266336
2019-10-30,9154.1,9141.6,9384.2,8946.6,644.72773166,5898618.446661755,183.12,182.13,185.28,177.74,8773.9093942,1598754.283078976,0.29494,0.29441,0.29868,0.28816,1260235.58856409,370573.83923070366,3039.739990234375,3050.10009765625,3025.9599609375,3046.77001953125,3046.77001953125,3776030000,7.056636052584189
2019-10-31,9142.7,9226.1,9272.5,9038.1,684.91205247,6263797.785646201,182.15,182.81,184.47,177.52,10604.36799252,1920911.7889114285,0.29429,0.29143,0.29442,0.28442,1786909.34037633,519393.52376501495,3046.89990234375,3046.89990234375,3023.18994140625,3037.56005859375,3037.56005859375,4139280000,7.041420118343195
